paper_id,publication_year,publication_month
paper_31321.pdf,2025,3
paper_31341.pdf,2023,6
paper_31378.pdf,2024,9
paper_31432.pdf,2023,1
paper_31528.pdf,2023,1
paper_31607.pdf,2022,1
paper_31684.pdf,2022,8
paper_31750.pdf,2025,6
paper_32054.pdf,2023,11
paper_3210.pdf,2010,5
paper_32688.pdf,2024,6
paper_32700.pdf,2024,3
paper_32716.pdf,2019,8
paper_32872.pdf,2022,4
paper_3294.pdf,2024,2
paper_3294_2.pdf,2024,2
paper_3295.pdf,2023,10
paper_32985.pdf,2025,4
paper_33108.pdf,2025,3
paper_3315.pdf,2024,6
paper_33690.pdf,2023,7
paper_33947.pdf,2025,6
paper_3398.pdf,2025,4
paper_34022.pdf,2025,4
paper_3409.pdf,2020,3
paper_3415.pdf,2025,2
paper_34179.pdf,2025,2
paper_34426.pdf,2022,9
paper_34487.pdf,2025,6
paper_34539.pdf,2023,7
paper_3454.pdf,2018,10
paper_34693.pdf,2023,11
paper_34918.pdf,2022,11
paper_35062.pdf,2025,5
paper_35136.pdf,2024,8
paper_35204.pdf,2022,11
paper_35297.pdf,2025,6
paper_35504.pdf,2025,5
paper_36211.pdf,2025,3
paper_36232.pdf,2024,10
paper_36298.pdf,2024,12
paper_36317.pdf,2024,12
paper_36536.pdf,2022,9
paper_37304.pdf,2022,9
paper_37501.pdf,2025,5
paper_3777.pdf,2024,1
paper_37843.pdf,2024,9
paper_37870.pdf,2023,6
paper_38207.pdf,2024,3
paper_38292.pdf,2025,6
paper_38394.pdf,2025,1
paper_38405.pdf,2024,12
paper_3855.pdf,2024,8
paper_39779.pdf,2024,5
paper_40035.pdf,2024,10
paper_40094.pdf,2025,4
paper_4058.pdf,2019,12
paper_4093.pdf,2023,10
paper_41079.pdf,2023,12
paper_4111.pdf,2023,11
paper_41111.pdf,2025,3
paper_4116.pdf,2025,3
paper_41413.pdf,2019,3
paper_41532.pdf,2023,7
paper_41769.pdf,2021,2
paper_4185.pdf,2019,9
paper_4244.pdf,2024,12
paper_4287.pdf,2025,3
paper_4293.pdf,2020,6
paper_4295.pdf,2014,4
paper_4328.pdf,2020,6
paper_45041.pdf,2024,6
paper_4517.pdf,2018,8
paper_4530.pdf,2024,8
paper_4563.pdf,2023,10
paper_45665.pdf,2025,6
paper_46170.pdf,2024,8
paper_46339.pdf,2023,8
paper_46539.pdf,2022,5
paper_46560.pdf,2024,12
paper_4726.pdf,2025,6
paper_47310.pdf,2025,1
paper_47626.pdf,2021,2
paper_47997.pdf,2025,3
paper_4895.pdf,2022,7
paper_4965.pdf,2022,3
paper_49790.pdf,2025,4
paper_4999.pdf,2025,4
paper_5009.pdf,2024,5
paper_50104.pdf,2023,10
paper_5068.pdf,2010,9
paper_5100.pdf,2019,10
paper_51271.pdf,2023,11
paper_51712.pdf,2025,3
paper_5264.pdf,2020,10
paper_5298.pdf,2024,12
paper_5317.pdf,2025,5
paper_53180.pdf,2024,5
paper_5379.pdf,2025,4
paper_5383.pdf,2025,6
paper_54011.pdf,2024,5
paper_5418.pdf,2024,8
paper_5422.pdf,2024,6
paper_54272.pdf,2023,6
paper_54302.pdf,2022,11
paper_5435.pdf,2023,7
paper_5456.pdf,2024,6
paper_5458.pdf,2024,10
paper_54630.pdf,2021,7
paper_5576.pdf,2023,2
paper_5604.pdf,2017,7
paper_56446.pdf,2025,6
paper_5702.pdf,2016,6
paper_57640.pdf,2023,6
paper_5767.pdf,2021,2
paper_5802.pdf,2010,9
paper_5824.pdf,2024,12
paper_5926.pdf,2018,12
paper_5944.pdf,2020,3
paper_5952.pdf,2023,10
paper_6036.pdf,2025,2
paper_6060.pdf,2024,8
paper_6082.pdf,2024,6
paper_6091.pdf,2023,9
paper_6129.pdf,2021,10
paper_6146.pdf,2021,10
paper_6170.pdf,2022,10
paper_6171.pdf,2024,10
paper_62616.pdf,2024,4
paper_6273.pdf,2024,10
paper_6284.pdf,2015,9
paper_6300.pdf,2023,9
paper_6343.pdf,2024,11
paper_6355.pdf,2024,4
paper_6357.pdf,2024,3
paper_6392.pdf,2023,12
paper_6408.pdf,2025,1
paper_6525.pdf,2018,9
paper_6555.pdf,2024,12
paper_6585.pdf,2024,12
paper_6601.pdf,2025,4
paper_6618.pdf,2017,12
paper_6623.pdf,2012,3
paper_6645.pdf,2024,4
paper_6727.pdf,2024,1
paper_6822.pdf,2015,8
paper_6833.pdf,2024,12
paper_6833_2.pdf,2024,3
paper_6842.pdf,2025,1
paper_6917.pdf,2016,7
paper_6929.pdf,2016,6
paper_6987.pdf,2024,5
paper_7003.pdf,2020,10
paper_7012.pdf,2023,1
paper_7046.pdf,2025,4
paper_7048.pdf,2020,6
paper_7066.pdf,2024,9
paper_7086.pdf,2015,8
paper_7095.pdf,2025,6
paper_7140.pdf,2020,11
paper_7151.pdf,2024,11
paper_7217.pdf,2024,5
paper_7223.pdf,2022,12
paper_7245.pdf,1997,10
paper_7265.pdf,2025,1
paper_7275.pdf,2014,6
paper_7325.pdf,2024,10
paper_7327.pdf,2025,2
paper_7341.pdf,2024,6
paper_7348.pdf,2023,12
paper_7356.pdf,2021,7
paper_7363.pdf,2015,11
paper_7364.pdf,2021,9
paper_7394.pdf,2025,3
paper_7454.pdf,2016,9
paper_7473.pdf,2024,12
paper_7530.pdf,2019,10
paper_7624.pdf,2024,6
